player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
Delon Wright,ATL,77,13.8,0.576,10.3,0.121,2.2,1.6,2021-22,1626153,18.9,111.6,108.8,USA,USA,3,0.3756
Delon Wright,WAS,50,16.3,0.581,12.9,0.146,3.4,1.7,2022-23,1626153,24.4,114.1,110.9,USA,USA,3,0.447
Delon Wright,MIA,47,13.6,0.505,12.8,0.109,0.4,0.5,2023-24,1626153,15.8,110.7,109.7,USA,USA,3,0.347
Deni Avdija,WAS,82,11.6,0.536,16.3,0.058,-1.7,0.1,2021-22,1630166,24.2,109.2,110.1,Israel,International,3,0.3371
Deni Avdija,WAS,76,11.2,0.535,16.7,0.054,-2.3,-0.1,2022-23,1630166,26.6,113.3,114.1,Israel,International,3,0.4048
Deni Avdija,WAS,75,14.9,0.597,20.2,0.068,-0.9,0.6,2023-24,1630166,30.1,109.7,116.2,Israel,International,3,0.4781
Dennis Schroder,HOU,64,13.0,0.539,22.6,0.076,-1.9,0.0,2021-22,203471,28.7,106.9,107.9,Germany,International,3,0.3288
Dennis Schroder,LAL,66,11.5,0.545,18.6,0.068,-2.9,-0.4,2022-23,203471,30.1,115.0,112.2,Germany,International,3,0.3983
Dennis Schroder,BKN,80,13.3,0.55,20.3,0.063,-1.8,0.1,2023-24,203471,31.1,112.6,115.4,Germany,International,3,0.4499
Dennis Smith Jr,CHA,54,11.6,0.475,17.6,0.039,-2.2,-0.1,2022-23,1628372,25.7,103.6,106.2,USA,USA,2,0.2313
Dennis Smith Jr,BKN,56,13.4,0.508,17.7,0.08,-0.8,0.3,2023-24,1628372,18.9,109.9,109.9,USA,USA,2,0.349
Derrick Jones Jr,CHI,51,13.0,0.633,12.5,0.119,-0.9,0.2,2021-22,1627884,17.6,112.8,110.1,USA,USA,2,0.4036
Derrick Jones Jr,DAL,76,11.7,0.592,14.9,0.083,-1.5,0.2,2023-24,1627884,23.5,114.0,112.3,USA,USA,2,0.4144
