player,headshot_url,flag_url
Dylan Windler,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dylan_windler.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dyson Daniels,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dyson_daniels.png,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Eric Gordon,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/eric_gordon.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Eugene Omoruyi,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/eugene_omoruyi.png,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
Evan Fournier,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/evan_fournier.png,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Evan Mobley,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/evan_mobley.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Frank Ntilikina,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/frank_ntilikina.png,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Franz Wagner,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/franz_wagner.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Fred VanVleet,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/fred_vanvleet.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Furkan Korkmaz,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/furkan_korkmaz.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
